room_id,output_file,original_file,size,reason
Ob_01,Ob_01.png,Ob_01(2).jpg,550x412,"Départ près de l’axe de l’obélisque, mais pas encore collé à lui."
Ob_02,Ob_02.png,DSCN8002.JPG,1600x1200,"Obélisque plein cadre, source sonore la plus proche."
PRA_01,PRA_01.png,PRA_01.jpg,2048x1153,Grande prairie neutre servant de carrefour central.
LAC_A1,LAC_A1.png,24010858.400x300(1).jpg,400x300,Première entrée vers le lac : eau visible mais encore ouverte.
LAC_A2,LAC_A2.png,3a316186fbdeb1ccf7c19db7ef89b506-1759419120.png,770x514,"Approche plus aquatique, reflet et horizon plus enveloppants."
LAC_01,LAC_01.png,csm_Tournay_1_8aa1de86a5.jpg,1200x901,"Bord du lac principal, calme et lourd, juste avant le silence."
FOR_L1,FOR_L1.png,eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQzMTMxMTQvYTVkOTFhYmFjZmI3ZDYyNTI3ODA3NzBjZmE5ZTgyYzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp.png,1080x700,"Détour latéral en forêt, chemin lisible mais moins frontal."
FOR_L2,FOR_L2.png,Photo-Tournay-Solvay.jpg,680x436,Passage/bridge forestier avant de retomber vers le lac.
SIL_01,SIL_01.png,5932435.400x300(1).jpg,400x300,"Après-lac sombre, eau stagnante, baisse de repères."
SIL_02,SIL_02.png,0 (5).png,1920x1440,"Zone sèche et vide, rupture naturelle avant le réceptacle."
SIL_03,SIL_03.png,22377704.400x300(1).jpg,400x300,Réceptacle visuel clair : bloc blanc isolé près de l’eau.
FOR_01,FOR_01.png,0 (4).png,1536x2048,"Entrée de forêt vers la branche château, chemin droit et clair."
FOR_02,FOR_02.png,6065253-8cc34455(1).jpg,230x230,"Forêt plus profonde, plus basse résolution et plus rêveuse."
CHA_FAR,CHA_FAR.png,pc060085(2).jpg,2048x1536,"Château très loin au bout de l’axe, bon palier d’approche."
CHA_NEAR,CHA_NEAR.png,chc3a2teau-de-la-hulpe-belgium-ct84_l.jpeg,2048x1365,"Façade proche, architecture/haies visibles, arrivée au château."
CHA_INT_01,CHA_INT_01.png,chateau-de-la-hulpe-feestzaal-te-la-hulpe-house-of-weddings-5-5cb5cfe58ff4d.jpg,1600x1067,"Premier intérieur clair, transition entrée/hall."
CHA_INT_02,CHA_INT_02.png,DSC_3142-scaled.jpg,2048x1363,Salle avec grand cadre central au-dessus de la cheminée : room du cadre important.
